PARTICIPANT_ID,RUN_ID,CHUNK,CONDITION,RandomID,PRODUCT_SHOWN,AGE,GENDER,AI_MENTION_CHECK,PR_INCORP_SELF,PR_BELONGS_TO_ME,PR_CONNECTED,PR_CLOSENESS,PR_DIFFICULT_MINE,PRODUCT_HEDONICITY_1_UTIL_7_HED,AI_IMPROVE_LIFE,AI_IMPROVE_WORK,AI_USE_FUTURE,AI_POSITIVE_HUMANITY,AI_THREAT_HUMANS,SPOT_AI_CHOICE,SPOT_AI_CORRECT,AUCTION_WINNER,AUCTION_CORRECT,WTP_COINS_0_10,TASK_SUMMARY,MTURK_ID,MTURK_ID_ENTERED,COMPLETION_CODE
11,RUN_2026-01-06_1,1,No AI x Hedonic (new),52372,Chocolate bar,27,Male,Yes,2,2,2,1,3,5,2,2,2,1,1,Picture 1,0,Participant 2,1,5,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",AA3NIYD7LB,Yes,237566
12,RUN_2026-01-06_1,1,AI x Utilitarian (new),33150,Body wash,38,Female,Yes,2,2,1,1,4,2,2,2,1,2,1,Picture 1,0,Participant 2,1,2,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",AV2TRUBCD0,Yes,237566
13,RUN_2026-01-06_1,1,No AI x Utilitarian (new),49791,Body wash,31,Female,Yes,2,2,1,1,4,3,2,2,1,1,1,Picture 2,1,Participant 2,1,7,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",ADLNBT5KE3,Yes,237566
14,RUN_2026-01-06_1,1,No AI x Hedonic (new),94653,Chocolate bar,47,Male,Yes,2,2,2,1,3,4,2,2,2,1,1,Picture 2,1,Participant 3,0,3,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",ALD4Q2G97F,Yes,237566
15,RUN_2026-01-06_1,1,AI x Hedonic (new),13194,Chocolate bar,34,Male,Yes,2,2,2,1,3,5,2,2,2,2,1,Picture 2,1,Participant 2,1,2,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",AWZGEGIAMV,No,237566
16,RUN_2026-01-06_1,1,No AI x Utilitarian (new),21351,Body wash,24,Female,Yes,2,2,2,1,3,2,2,2,2,1,1,Picture 2,1,Participant 2,1,7,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",APZRRG3DE8,Yes,237566
17,RUN_2026-01-06_1,1,No AI x Hedonic (new),42365,Chocolate bar,37,Male,Yes,2,2,2,2,4,6,2,2,1,1,1,Picture 2,1,Participant 2,1,5,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",A7B44UFJL5,Yes,237566
18,RUN_2026-01-06_1,1,AI x Hedonic (new),26963,Chocolate bar,32,Female,Yes,2,2,1,1,4,5,2,2,1,2,1,Picture 1,0,Participant 2,1,6,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",A92W4CXMQI,Yes,237566
19,RUN_2026-01-06_1,1,No AI x Hedonic (new),32745,Chocolate bar,56,Female,Yes,2,2,2,1,3,5,2,2,2,1,1,Picture 2,1,Participant 2,1,5,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",AEEF0C74UB,Yes,237566
20,RUN_2026-01-06_1,1,No AI x Utilitarian (new),42532,Body wash,33,Female,Yes,2,2,2,1,3,3,2,2,2,2,1,Picture 2,1,Participant 2,1,6,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",A5S1ECPI85,Yes,237566
21,RUN_2026-01-06_1,1,AI x Utilitarian (new),79450,Body wash,22,Female,Yes,2,2,2,1,3,4,2,2,2,1,1,Picture 2,1,Participant 2,1,4,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",AFQFIUI9G1,Yes,237566
22,RUN_2026-01-06_1,1,AI x Hedonic (new),96642,Chocolate bar,37,Male,No,2,2,1,1,3,4,2,2,2,1,1,Picture 1,0,Participant 2,1,6,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AXPOQVKAZI,Yes,237566
23,RUN_2026-01-06_1,1,AI x Hedonic (new),55803,Chocolate bar,35,Male,Yes,2,2,1,1,3,5,2,2,1,1,1,Picture 1,0,Participant 2,1,3,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",AYGM5ZKCGO,Yes,237566
24,RUN_2026-01-06_1,1,AI x Utilitarian (new),85660,Body wash,41,Female,Yes,2,1,1,1,5,2,2,1,2,2,1,Picture 1,0,Participant 2,1,6,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",ACY9E22TP3,No,237566
25,RUN_2026-01-06_1,1,AI x Utilitarian (new),27042,Body wash,40,Male,Yes,2,2,2,1,2,3,2,1,2,1,1,Picture 1,0,Participant 2,1,5,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",A74J2O4C96,Yes,237566
26,RUN_2026-01-06_1,1,No AI x Utilitarian (new),72109,Body wash,25,Female,Yes,2,2,1,1,3,3,2,2,2,1,1,Picture 1,0,Participant 2,1,4,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",ARAPG3QF33,Yes,237566
27,RUN_2026-01-06_1,1,No AI x Hedonic (new),85839,Chocolate bar,37,Male,Yes,2,2,1,1,4,4,2,2,2,2,1,Picture 1,0,Participant 2,1,7,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",A03G60F8IA,Yes,237566
28,RUN_2026-01-06_1,1,No AI x Utilitarian (new),65251,Body wash,36,Male,Yes,2,2,2,1,2,3,2,2,1,1,1,Picture 1,0,Participant 2,1,8,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",A9BR4PILX2,Yes,237566
29,RUN_2026-01-06_1,1,AI x Hedonic (new),75953,Chocolate bar,23,Female,No,2,2,1,1,4,7,2,1,2,1,1,Picture 2,1,Participant 2,1,7,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",AO3JX8W5V4,Yes,237566
30,RUN_2026-01-06_1,1,AI x Utilitarian (new),71388,Body wash,31,Female,Yes,2,2,2,2,4,2,2,2,2,1,1,Picture 1,0,Participant 2,1,5,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",AZI1K08LE7,Yes,237566
31,RUN_2026-01-06_1,1,No AI x Utilitarian (new),11185,Body wash,40,Female,Yes,2,2,2,1,3,4,2,2,1,1,2,Picture 1,0,Participant 3,0,8,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",AG8AZAQTCT,Yes,237566
32,RUN_2026-01-06_1,1,No AI x Utilitarian (new),68084,Body wash,18,Female,Yes,2,2,1,1,3,2,2,2,1,2,1,Picture 2,1,Participant 2,1,5,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",AM4HLT2HSB,Yes,237566
33,RUN_2026-01-06_1,1,No AI x Hedonic (new),14967,Chocolate bar,24,Female,No,2,2,1,1,4,5,2,2,2,2,1,Picture 2,1,Participant 2,1,8,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",AJ317QT8JZ,Yes,237566
34,RUN_2026-01-06_1,1,No AI x Utilitarian (new),32149,Body wash,32,Male,Yes,2,2,1,1,4,2,2,2,2,2,1,Picture 2,1,Participant 2,1,6,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",AELJKUW139,Yes,237566
35,RUN_2026-01-06_1,1,AI x Hedonic (new),10018,Chocolate bar,36,Female,Yes,2,2,1,1,3,6,2,2,1,2,1,Picture 2,1,Participant 2,1,1,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AK4DIWD0FB,Yes,237566
36,RUN_2026-01-06_1,1,AI x Utilitarian (new),10138,Body wash,43,Male,Yes,2,2,2,1,4,4,2,2,1,2,1,Picture 2,1,Participant 2,1,7,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",ALQ3RYDVT9,Yes,237566
37,RUN_2026-01-06_1,1,No AI x Utilitarian (new),70703,Body wash,21,Female,Yes,2,2,2,1,3,3,2,2,2,1,1,Picture 1,0,Participant 3,0,4,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",AI1C5JF2ZV,Yes,237566
38,RUN_2026-01-06_1,1,No AI x Utilitarian (new),36855,Body wash,41,Female,Yes,2,2,1,1,6,1,2,2,1,1,1,Picture 2,1,Participant 3,0,7,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",AN7MP43F5H,Yes,237566
39,RUN_2026-01-06_1,1,AI x Hedonic (new),75044,Chocolate bar,45,Male,Yes,2,2,2,1,4,5,1,1,1,1,1,Picture 1,0,Participant 2,1,9,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",ADMNO2LODZ,Yes,237566
40,RUN_2026-01-06_1,1,AI x Hedonic (new),92913,Chocolate bar,56,Male,Yes,2,2,2,1,4,5,2,2,2,1,1,Picture 2,1,Participant 2,1,7,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AGD9AUBAK2,Yes,237566
41,RUN_2026-01-06_1,1,AI x Utilitarian (new),14841,Body wash,32,Female,No,2,2,1,1,3,3,2,1,2,1,1,Picture 2,1,Participant 2,1,5,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",AWVQPRU2MI,Yes,237566
42,RUN_2026-01-06_1,1,No AI x Hedonic (new),99987,Chocolate bar,26,Male,Yes,2,2,2,1,3,5,2,2,2,2,1,Picture 2,1,Participant 2,1,4,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",A9RYHXDJW3,Yes,237566
43,RUN_2026-01-06_1,1,AI x Utilitarian (new),76639,Body wash,19,Male,Yes,2,2,1,1,4,3,2,2,2,1,1,Picture 2,1,Participant 2,1,6,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",ACMLWB567F,Yes,237566
44,RUN_2026-01-06_1,1,AI x Utilitarian (new),50062,Body wash,44,Male,Yes,2,2,1,1,3,4,2,2,1,1,1,Picture 2,1,Participant 2,1,3,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",AMWDDH52E4,Yes,237566
45,RUN_2026-01-06_1,1,AI x Utilitarian (new),29875,Body wash,52,Male,No,2,2,2,1,2,3,2,2,2,2,1,Picture 2,1,Participant 2,1,4,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",ARZZ0K1S3G,Yes,237566
46,RUN_2026-01-06_1,1,No AI x Hedonic (new),23816,Chocolate bar,29,Female,Yes,2,2,1,1,3,5,2,2,2,1,1,Picture 1,0,Participant 2,1,6,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AHKIGKR3VE,Yes,237566
47,RUN_2026-01-06_1,1,AI x Utilitarian (new),15453,Body wash,42,Female,Yes,2,2,2,1,4,4,2,2,2,1,1,Picture 2,1,Participant 2,1,4,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",A82QY229YZ,Yes,237566
48,RUN_2026-01-06_1,1,No AI x Utilitarian (new),23103,Body wash,47,Male,Yes,2,2,2,1,4,3,2,2,2,1,1,Picture 2,1,Participant 2,1,7,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AP39URW4DP,Yes,237566
49,RUN_2026-01-06_1,1,No AI x Utilitarian (new),40270,Body wash,49,Female,Yes,2,2,1,1,3,3,2,2,2,1,1,Picture 2,1,Participant 2,1,6,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",A0KPBBF3RL,Yes,237566
50,RUN_2026-01-06_1,1,AI x Utilitarian (new),80846,Body wash,33,Male,Yes,2,2,2,1,4,4,2,2,1,1,2,Picture 1,0,Participant 2,1,3,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",AO29AXIOSZ,Yes,237566
51,RUN_2026-01-06_1,1,No AI x Hedonic (new),16453,Chocolate bar,45,Male,Yes,2,1,2,1,5,5,2,2,2,1,1,Picture 1,0,Participant 2,1,5,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",AV5DZY7ZLH,Yes,237566
52,RUN_2026-01-06_1,1,No AI x Utilitarian (new),99986,Body wash,37,Male,Yes,2,2,2,1,3,4,2,2,2,2,1,Picture 1,0,Participant 2,1,6,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",AZQP9K3MU1,Yes,237566
53,RUN_2026-01-06_1,1,No AI x Hedonic (new),43151,Chocolate bar,26,Male,No,2,2,1,1,3,6,2,2,1,1,1,Picture 1,0,Participant 2,1,4,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",ARIWJ7W88S,Yes,237566
54,RUN_2026-01-06_1,1,No AI x Hedonic (new),96664,Chocolate bar,41,Male,Yes,2,2,2,1,4,5,2,2,1,2,1,Picture 1,0,Participant 2,1,10,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",A2XAWGY5RV,Yes,237566
55,RUN_2026-01-06_1,1,AI x Hedonic (new),53956,Chocolate bar,42,Male,Yes,2,2,2,1,4,5,2,2,1,2,1,Picture 2,1,Participant 2,1,9,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",AHASCVIHCG,Yes,237566
56,RUN_2026-01-06_1,1,No AI x Hedonic (new),96856,Chocolate bar,26,Female,No,2,2,2,1,3,4,2,2,2,1,2,Picture 2,1,Participant 2,1,10,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",ANYR2IL62Y,Yes,237566
57,RUN_2026-01-06_1,1,No AI x Utilitarian (new),67589,Body wash,43,Male,Yes,2,2,1,1,4,4,2,2,2,1,1,Picture 2,1,Participant 2,1,6,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",ASA2EL4Q5D,Yes,237566
58,RUN_2026-01-06_1,1,No AI x Hedonic (new),37408,Chocolate bar,62,Male,Yes,2,2,1,1,4,5,2,1,1,1,1,Picture 1,0,Participant 2,1,3,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",ACOXH8C3W6,Yes,237566
59,RUN_2026-01-06_1,1,AI x Hedonic (new),93054,Chocolate bar,20,Female,Yes,2,2,1,1,4,5,2,2,2,1,1,Picture 1,0,Participant 2,1,8,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",AKWT2EU13D,Yes,237566
60,RUN_2026-01-06_1,1,AI x Hedonic (new),37844,Chocolate bar,47,Female,Yes,2,2,1,1,4,6,2,1,2,2,1,Picture 2,1,Participant 3,0,4,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AHH5W3J430,Yes,237566
61,RUN_2026-01-06_1,1,AI x Hedonic (new),91464,Chocolate bar,49,Female,No,2,2,2,1,3,4,2,2,2,2,1,Picture 1,0,Participant 2,1,4,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AW729RXJ8N,Yes,237566
62,RUN_2026-01-06_1,1,AI x Hedonic (new),45570,Chocolate bar,39,Female,Yes,2,2,1,1,3,5,2,2,2,1,1,Picture 2,1,Participant 2,1,10,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",APXKMB3YYA,Yes,237566
63,RUN_2026-01-06_1,1,No AI x Utilitarian (new),98585,Body wash,42,Male,Yes,2,2,1,1,3,2,2,2,1,1,1,Picture 1,0,Participant 4,0,4,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",AK765RW6A6,Yes,237566
64,RUN_2026-01-06_1,1,AI x Utilitarian (new),73418,Body wash,35,Male,Yes,2,2,1,1,4,1,2,1,1,1,1,Picture 1,0,Participant 2,1,8,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",A6Z7CDZS1Y,Yes,237566
65,RUN_2026-01-06_1,1,AI x Utilitarian (new),83353,Body wash,54,Female,No,2,1,2,2,6,1,2,2,1,1,2,Picture 1,0,Participant 1,0,6,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AFSFO0S0S0,Yes,237566
66,RUN_2026-01-06_1,1,No AI x Hedonic (new),25402,Chocolate bar,27,Male,Yes,2,2,2,1,4,6,2,2,1,1,1,Picture 1,0,Participant 2,1,7,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",AA97HJBFER,Yes,237566
67,RUN_2026-01-06_1,1,No AI x Utilitarian (new),93003,Body wash,36,Male,Yes,2,2,2,1,4,3,2,2,1,1,1,Picture 2,1,Participant 2,1,4,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",A38GT6HLTL,Yes,237566
68,RUN_2026-01-06_1,1,No AI x Utilitarian (new),21150,Body wash,18,Female,Yes,2,2,1,1,4,2,2,2,1,1,1,Picture 2,1,Participant 2,1,5,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AP7UOJ2OYV,Yes,237566
69,RUN_2026-01-06_1,1,AI x Hedonic (new),96551,Chocolate bar,42,Female,Yes,2,2,1,1,5,3,2,1,2,2,1,Picture 2,1,Participant 2,1,3,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",AL73YB6AC5,Yes,237566
70,RUN_2026-01-06_1,1,No AI x Utilitarian (new),33716,Body wash,42,Female,Yes,2,2,2,1,4,3,2,2,1,1,1,Picture 2,1,Participant 4,0,9,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",ABP3KJCZB4,Yes,237566
71,RUN_2026-01-06_1,1,AI x Hedonic (new),79957,Chocolate bar,18,Male,Yes,2,2,2,1,4,5,2,2,2,1,1,Picture 2,1,Participant 2,1,4,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",ARWXAPKBBS,Yes,237566
72,RUN_2026-01-06_1,1,AI x Hedonic (new),16934,Chocolate bar,27,Prefer not to say,Yes,2,2,1,1,2,5,2,2,2,2,1,Picture 1,0,Participant 2,1,8,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",A1GU3IBYLT,Yes,237566
73,RUN_2026-01-06_1,1,No AI x Utilitarian (new),53950,Body wash,43,Female,Yes,2,2,2,1,4,2,2,1,2,1,1,Picture 1,0,Participant 2,1,7,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",A3JG97EICZ,Yes,237566
74,RUN_2026-01-06_1,1,AI x Utilitarian (new),13523,Body wash,32,Female,Yes,2,2,2,1,4,2,2,2,2,1,1,Picture 2,1,Participant 2,1,0,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",AKE6VTISB8,Yes,237566
75,RUN_2026-01-06_1,1,AI x Utilitarian (new),90243,Body wash,23,Female,Yes,2,2,1,1,4,2,2,2,2,1,1,Picture 2,1,Participant 2,1,5,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AZAT0F7G6C,Yes,237566
76,RUN_2026-01-06_1,1,No AI x Utilitarian (new),74919,Body wash,18,Female,Yes,2,1,2,1,3,4,2,2,2,1,1,Picture 1,0,Participant 3,0,9,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",A18P4YSVON,Yes,237566
77,RUN_2026-01-06_1,1,AI x Utilitarian (new),89605,Body wash,42,Female,Yes,2,2,2,1,4,3,2,2,2,1,1,Picture 1,0,Participant 2,1,4,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",AJGVJTA9WM,Yes,237566
78,RUN_2026-01-06_1,1,AI x Utilitarian (new),21308,Body wash,61,Female,Yes,2,2,2,1,3,3,2,1,2,1,1,Picture 2,1,Participant 2,1,5,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",A7S2630FEJ,Yes,237566
79,RUN_2026-01-06_1,1,No AI x Hedonic (new),23730,Chocolate bar,32,Male,Yes,2,2,2,1,4,5,2,2,2,2,1,Picture 2,1,Participant 2,1,6,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",A688QCGZ5T,Yes,237566
80,RUN_2026-01-06_1,1,AI x Hedonic (new),86333,Chocolate bar,43,Male,Yes,2,2,1,1,3,5,2,2,2,1,2,Picture 1,0,Participant 2,1,6,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",ACRPO3BHLF,Yes,237566
81,RUN_2026-01-06_1,1,No AI x Hedonic (new),98877,Chocolate bar,42,Female,Yes,2,2,2,1,4,4,2,2,1,2,1,Picture 2,1,Participant 2,1,8,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",AMJW9RFBLT,Yes,237566
82,RUN_2026-01-06_1,1,AI x Hedonic (new),97212,Chocolate bar,36,Male,Yes,2,2,2,1,3,6,2,1,2,2,1,Picture 2,1,Participant 2,1,6,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",AUJ1GO7ZXH,Yes,237566
83,RUN_2026-01-06_1,1,AI x Utilitarian (new),83444,Body wash,39,Female,Yes,2,1,1,1,4,4,2,2,1,1,1,Picture 2,1,Participant 4,0,4,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",A0F3TI8EM6,Yes,237566
84,RUN_2026-01-06_1,1,AI x Utilitarian (new),14965,Body wash,39,Male,Yes,2,2,1,1,3,3,2,2,2,1,2,Picture 1,0,Participant 2,1,6,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",AQFSPSKFW6,Yes,237566
85,RUN_2026-01-06_1,1,No AI x Hedonic (new),35541,Chocolate bar,27,Female,Yes,2,2,1,1,3,5,2,2,2,1,2,Picture 2,1,Participant 2,1,6,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",AI6QRQK9FW,Yes,237566
86,RUN_2026-01-06_1,1,AI x Hedonic (new),77110,Chocolate bar,65,Female,Yes,2,2,1,1,3,4,2,2,1,1,1,Picture 1,0,Participant 2,1,5,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",ABEO6JNB3B,Yes,237566
87,RUN_2026-01-06_1,1,No AI x Utilitarian (new),76627,Body wash,65,Female,Yes,2,2,2,1,4,2,2,1,1,1,1,Picture 1,0,Participant 2,1,3,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AE407O3A2I,Yes,237566
88,RUN_2026-01-06_1,1,AI x Hedonic (new),75725,Chocolate bar,41,Male,Yes,2,2,2,1,3,5,2,2,1,1,1,Picture 2,1,Participant 2,1,6,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",A5C4GK3HUI,Yes,237566
89,RUN_2026-01-06_1,1,No AI x Hedonic (new),62935,Chocolate bar,59,Male,Yes,2,2,1,1,3,6,2,2,2,1,1,Picture 1,0,Participant 2,1,8,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",AP44GECH8G,Yes,237566
90,RUN_2026-01-06_1,1,No AI x Utilitarian (new),64603,Body wash,28,Female,Yes,2,2,1,1,4,3,2,2,2,1,1,Picture 1,0,Participant 2,1,4,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",AAJIH74CPZ,Yes,237566
91,RUN_2026-01-06_1,1,No AI x Utilitarian (new),21191,Body wash,35,Female,Yes,2,2,1,1,2,3,2,1,1,2,1,Picture 2,1,Participant 2,1,6,"I reviewed a product page and answered questions about the recommendation and my opinions about AI, then made a small decision task.",A5VZ0RA68D,Yes,237566
92,RUN_2026-01-06_1,1,No AI x Hedonic (new),28025,Chocolate bar,51,Female,Yes,2,2,1,1,3,5,2,2,2,1,2,Picture 1,0,Participant 2,1,7,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AUWQLSQ2C8,No,237566
